#bin	swScore	milliDiv	milliDel	milliIns	genoName	genoStart	genoEnd	genoLeft	strand	repName	repClass	repFamily	repStart	repEnd	repLeft	id
607	687	174	0	0	chr1	3000001	3000156	-194195276	-	L1_Mur2	LINE	L1	-4310	1567	1413	1
607	917	214	114	45	chr1	3000237	3000733	-194194699	-	L1_Mur2	LINE	L1	-4488	1389	913	1
607	215	31	0	30	chr1	3000733	3000766	-194194666	+	(TTTG)n	Simple_repeat	Simple_repeat	2	33	0	2
607	845	233	76	114	chr1	3000766	3000792	-194194640	-	L1_Mur2	LINE	L1	-6816	912	887	1
607	621	250	65	37	chr1	3001287	3001583	-194193849	-	Lx9	LINE	L1	-1596	6048	5742	3
607	1320	197	332	7	chr1	3001722	3002005	-194193427	-	RLTR25A	LTR	ERVK	0	1028	625	4
607	414	0	0	0	chr1	3002005	3002051	-194193381	+	(TA)n	Simple_repeat	Simple_repeat	1	46	0	5
607	2352	193	69	64	chr1	3002051	3002615	-194192817	-	RLTR25A	LTR	ERVK	-404	624	1	4
607	386	268	145	138	chr1	3003212	3003261	-194192171	-	L1M2	LINE	L1	-1343	4800	4769	6
607	797	201	147	0	chr1	3003261	3003445	-194191987	-	B3	SINE	B2	-2	214	4	7
607	386	268	145	138	chr1	3003445	3003815	-194191617	-	L1M2	LINE	L1	-1375	4768	4378	6
607	513	47	0	0	chr1	3004066	3004130	-194191302	+	(TA)n	Simple_repeat	Simple_repeat	1	64	0	8
607	25	65	0	0	chr1	3004152	3004198	-194191234	+	AT_rich	Low_complexity	Low_complexity	1	46	0	9
607	1604	155	14	4	chr1	3004552	3004830	-194190602	+	L1Md_F2	LINE	L1	217	497	-6141	1
607	32548	84	2	13	chr1	3004832	3011092	-194184340	-	L1Md_F2	LINE	L1	-12	6570	384	1
75	25912	103	35	1	chr1	3011124	3015902	-194179530	+	L1Md_F2	LINE	L1	643	5585	-298	1
608	6275	98	45	9	chr1	3015904	3016852	-194178580	+	L1Md_F2	LINE	L1	5588	6569	-13	1
608	1721	104	75	26	chr1	3016886	3017193	-194178239	+	RLTRETN_Mm	LTR	ERVK	1	322	0	1
608	370	397	54	27	chr1	3017204	3017572	-194177860	-	L1MEf	LINE	L1	-5341	859	482	1
608	1505	192	67	22	chr1	3018338	3018653	-194176779	-	RLTR14	LTR	ERV1	-51	331	3	1
608	3847	112	46	60	chr1	3019021	3019783	-194175649	-	RMER17A	LTR	ERVK	0	751	1	1
608	467	140	80	23	chr1	3020150	3020238	-194175194	-	RLTR13C2	LTR	ERVK	0	808	716	1
608	216	160	0	39	chr1	3020367	3020419	-194175013	+	T-rich	Low_complexity	Low_complexity	5	54	0	1
608	1169	151	29	0	chr1	3020426	3020632	-194174800	-	Lx2	LINE	L1	-11	6986	6775	1
608	19718	152	21	11	chr1	3020632	3021439	-194173993	-	Lx2	LINE	L1	-354	6643	5824	1
608	2885	21	0	43	chr1	3021439	3021791	-194173641	-	IAPLTR1a_Mm	LTR	ERVK	0	337	1	1
608	19718	173	38	61	chr1	3021791	3025633	-194169799	-	Lx2	LINE	L1	-58	5825	2050	1
608	1125	187	70	127	chr1	3025633	3026050	-194169382	-	RLTR9C	LTR	ERVK	0	393	1	2
608	19718	179	27	40	chr1	3026050	3027589	-194167843	-	Lx2	LINE	L1	-3834	2049	549	1
608	505	296	52	7	chr1	3027594	3027730	-194167702	-	ID_B1	SINE	B4	-72	152	11	2
608	34226	54	9	4	chr1	3027807	3033128	-194162304	+	L1Md_A	LINE	L1	279	5586	-297	2
608	8253	40	1	0	chr1	3033128	3034121	-194161311	+	L1Md_A	LINE	L1	5587	6580	-2	2
608	969	9	0	0	chr1	3034597	3034707	-194160725	+	(TTC)n	Simple_repeat	Simple_repeat	3	112	0	2
608	4839	56	19	2	chr1	3034950	3035545	-194159887	+	RLTR1D	LTR	ERV1	1	605	0	2
608	261	0	0	0	chr1	3035549	3035578	-194159854	+	(CA)n	Simple_repeat	Simple_repeat	1	29	0	2
608	598	355	17	30	chr1	3035776	3036008	-194159424	+	MER44D	DNA	MER2_type	4	232	-473	2
608	540	283	48	0	chr1	3036032	3036219	-194159213	+	MER44D	DNA	MER2_type	487	682	-23	2
608	3626	183	50	58	chr1	3036293	3037181	-194158251	-	RLTR13C1	LTR	ERVK	0	983	1	2
608	384	330	46	56	chr1	3037337	3037548	-194157884	+	MER74B	LTR	ERVL	66	402	-220	2
608	221	235	38	38	chr1	3037568	3037621	-194157811	+	ID4_	SINE	ID	27	79	-4	2
608	298	274	54	46	chr1	3037904	3038046	-194157386	-	MLT1A1	LTR	MaLR	-219	146	4	3
608	2635	179	19	63	chr1	3038379	3038968	-194156464	+	Lx4B	LINE	L1	6477	7039	-19	3
608	1109	71	6	0	chr1	3038968	3039137	-194156295	+	(TAAG)n	Simple_repeat	Simple_repeat	2	171	0	3
608	1145	264	24	48	chr1	3039545	3039835	-194155597	+	B4A	SINE	B4	6	288	-4	3
608	634	310	6	67	chr1	3039964	3040238	-194155194	-	BGLII_B	LTR	ERVK	-18	423	161	3
608	200	0	0	91	chr1	3040238	3040257	-194155175	+	(TTC)n	Simple_repeat	Simple_repeat	3	20	0	3
608	1392	56	0	0	chr1	3040257	3040435	-194154997	+	(TCTCCC)n	Simple_repeat	Simple_repeat	2	179	0	3
608	1479	28	0	0	chr1	3040435	3040610	-194154822	+	(TTCTCC)n	Simple_repeat	Simple_repeat	3	178	0	3
608	200	0	0	91	chr1	3040610	3040622	-194154810	+	(TTC)n	Simple_repeat	Simple_repeat	1	11	0	3
608	377	260	10	29	chr1	3040661	3040764	-194154668	-	L1_Mur3	LINE	L1	-6993	719	619	3
608	278	26	0	25	chr1	3040818	3040858	-194154574	+	(TTTA)n	Simple_repeat	Simple_repeat	4	42	0	4
608	938	151	7	13	chr1	3040859	3041013	-194154419	-	B2_Mm2	SINE	B2	-41	154	2	4
608	441	0	0	0	chr1	3041035	3041084	-194154348	+	(CA)n	Simple_repeat	Simple_repeat	2	50	0	4
608	401	14	0	127	chr1	3041448	3041606	-194153826	+	(TTTTTG)n	Simple_repeat	Simple_repeat	1	138	0	4
608	814	89	0	0	chr1	3041608	3041720	-194153712	-	B1_Mus1	SINE	Alu	0	148	37	4
608	711	65	0	0	chr1	3041791	3041884	-194153548	+	(TTCC)n	Simple_repeat	Simple_repeat	4	96	0	4
608	623	239	6	6	chr1	3042081	3042237	-194153195	-	Lx7	LINE	L1	0	7696	7541	4
608	485	132	11	21	chr1	3042316	3042409	-194153023	+	L1_Rod	LINE	L1	1516	1607	-4240	4
608	515	149	11	0	chr1	3042407	3042494	-194152938	+	Lx9	LINE	L1	6800	6887	-757	4
608	529	168	115	0	chr1	3042487	3042600	-194152832	+	Lx9	LINE	L1	7349	7474	-170	4
608	2960	81	28	117	chr1	3042606	3043135	-194152297	+	RLTR45	LTR	ERVK	1	482	0	4
608	4081	75	107	14	chr1	3043135	3043768	-194151664	+	RLTR45-int	LTR	ERVK	1	692	-6552	4
608	1082	51	0	0	chr1	3044068	3044206	-194151226	+	RLTR45-int	LTR	ERVK	681	818	-6426	4
608	11410	41	37	6	chr1	3045004	3046830	-194148602	+	RLTR45-int	LTR	ERVK	1329	3212	-4032	4
608	3810	80	28	30	chr1	3046800	3047408	-194148024	+	RLTR45-int	LTR	ERVK	3380	3986	-3258	4
608	17376	42	6	2	chr1	3047400	3049573	-194145859	+	RLTR45-int	LTR	ERVK	5064	7244	0	4
608	3026	81	23	117	chr1	3049573	3050105	-194145327	+	RLTR45	LTR	ERVK	1	482	0	4
608	260	158	132	12	chr1	3050118	3050201	-194145231	+	Lx9	LINE	L1	7484	7576	-68	4
608	311	356	9	9	chr1	3050720	3050825	-194144607	-	PB1D10	SINE	Alu	0	117	13	5
608	496	312	50	60	chr1	3051017	3051257	-194144175	-	ORR1E	LTR	MaLR	-111	248	13	5
608	22	0	0	0	chr1	3052013	3052035	-194143397	+	AT_rich	Low_complexity	Low_complexity	1	22	0	5
608	405	0	0	0	chr1	3052204	3052249	-194143183	+	(CATA)n	Simple_repeat	Simple_repeat	2	46	0	5
608	2488	112	98	16	chr1	3052754	3053142	-194142290	-	RLTR9B2	LTR	ERVK	0	420	1	5
608	423	0	0	0	chr1	3053404	3053451	-194141981	+	(TTTA)n	Simple_repeat	Simple_repeat	3	49	0	5
608	1286	57	0	0	chr1	3053451	3053610	-194141822	-	B2_Mm1t	SINE	B2	-33	160	2	5
608	318	230	74	66	chr1	3053759	3053880	-194141552	-	PB1	SINE	Alu	-2	125	4	5
608	267	327	164	9	chr1	3053896	3054109	-194141323	+	Charlie2b	DNA	MER1_type	80	325	-2457	5
608	733	149	11	0	chr1	3054328	3054503	-194140929	+	(TCTA)n	Simple_repeat	Simple_repeat	4	180	0	5
608	384	97	0	0	chr1	3054505	3054567	-194140865	+	(TATG)n	Simple_repeat	Simple_repeat	2	63	0	6
608	1195	278	28	0	chr1	3054589	3054913	-194140519	-	Lx8	LINE	L1	-153	7320	6988	6
608	21	0	0	0	chr1	3054918	3054939	-194140493	+	AT_rich	Low_complexity	Low_complexity	1	21	0	6
608	31505	97	5	6	chr1	3054939	3060895	-194134537	-	L1Md_F2	LINE	L1	-2	6564	590	6
608	766	267	226	3	chr1	3060910	3061229	-194134203	-	Lx8	LINE	L1	-801	6672	6283	6
608	314	238	71	0	chr1	3061381	3061465	-194133967	-	MTEa	LTR	MaLR	0	379	290	6
608	249	98	0	0	chr1	3062484	3062525	-194132907	+	(CA)n	Simple_repeat	Simple_repeat	2	42	0	6
608	459	378	13	19	chr1	3062530	3062684	-194132748	-	RSINE1	SINE	B4	-9	156	4	6
608	432	270	0	22	chr1	3062751	3062842	-194132590	-	MTEa	LTR	MaLR	-84	295	207	6
608	308	23	0	43	chr1	3062878	3062924	-194132508	+	(TTTTG)n	Simple_repeat	Simple_repeat	2	45	0	6
608	417	361	0	29	chr1	3062927	3063064	-194132368	-	B1F	SINE	Alu	-1	148	16	6
608	316	175	151	111	chr1	3063067	3063119	-194132313	+	Charlie2b	DNA	MER1_type	2267	2319	-463	5
608	1746	115	7	4	chr1	3063119	3063389	-194132043	+	L1_Mus3	LINE	L1	6365	6635	-3	6
608	316	175	151	111	chr1	3063389	3063535	-194131897	+	Charlie2b	DNA	MER1_type	2320	2473	-309	5
608	361	257	114	0	chr1	3064831	3064936	-194130496	-	PB1	SINE	Alu	-5	122	6	7
608	227	247	9	142	chr1	3064860	3064973	-194130459	-	B4A	SINE	B4	-132	160	63	7
608	538	266	6	23	chr1	3065248	3065425	-194130007	+	Lx9	LINE	L1	2581	2754	-3093	7
608	4618	249	94	85	chr1	3065434	3067007	-194128425	+	Lx9	LINE	L1	3160	4626	-1221	7
608	4321	28	0	0	chr1	3067007	3067500	-194127932	-	MT2_Mm	LTR	ERVL	0	493	1	7
608	4618	261	97	59	chr1	3067500	3068749	-194126683	+	Lx9	LINE	L1	4627	6029	-1444	7
608	288	0	0	0	chr1	3068749	3068781	-194126651	+	(TG)n	Simple_repeat	Simple_repeat	1	32	0	7
608	1238	298	159	9	chr1	3068781	3069386	-194126046	+	Lx9	LINE	L1	6030	6874	-770	7
608	868	110	13	13	chr1	3069400	3069557	-194125875	+	L1_Mus3	LINE	L1	6478	6634	-4	7
608	468	0	0	0	chr1	3069575	3069627	-194125805	+	(GAA)n	Simple_repeat	Simple_repeat	2	53	0	7
608	1459	303	40	25	chr1	3069628	3070176	-194125256	+	Lx9	LINE	L1	6886	7441	-203	7
608	206	62	31	0	chr1	3070192	3070224	-194125208	+	(TG)n	Simple_repeat	Simple_repeat	2	34	0	7
608	7941	140	7	2	chr1	3070261	3071682	-194123750	+	L1_Mur1	LINE	L1	1226	2653	-3233	7
608	4143	144	39	9	chr1	3071678	3072469	-194122963	+	L1_Mur1	LINE	L1	4798	5612	-274	7
608	925	97	13	13	chr1	3072516	3072672	-194122760	+	L1_Mus3	LINE	L1	6481	6636	-2	7
608	26	50	0	0	chr1	3072672	3072712	-194122720	+	AT_rich	Low_complexity	Low_complexity	1	40	0	8
608	2445	156	131	47	chr1	3072720	3073230	-194122202	+	RMER4B	LTR	ERVK	33	585	0	8
608	1260	56	0	0	chr1	3073244	3073405	-194122027	+	(TC)n	Simple_repeat	Simple_repeat	2	162	0	8
608	2495	94	56	0	chr1	3073407	3073747	-194121685	+	RLTR10D	LTR	ERVK	1	359	0	8
608	1005	137	0	0	chr1	3073844	3073990	-194121442	+	B1_Mus1	SINE	Alu	3	148	0	8
608	198	0	0	0	chr1	3073990	3074012	-194121420	+	(A)n	Simple_repeat	Simple_repeat	1	22	0	8
608	6591	168	10	14	chr1	3074014	3074141	-194121291	+	Lx	LINE	L1	4608	4731	-1152	8
608	201	39	0	0	chr1	3074141	3074167	-194121265	+	(CAAA)n	Simple_repeat	Simple_repeat	2	27	0	8
608	6591	143	8	10	chr1	3074167	3075398	-194120034	+	Lx	LINE	L1	4732	5961	-693	8
608	4242	72	0	29	chr1	3075401	3076166	-194119266	+	L1Md_A	LINE	L1	1089	1811	-4072	8
608	397	277	113	11	chr1	3076438	3076624	-194118808	-	MER119	DNA	MER1_type	-180	403	199	8
608	890	114	13	13	chr1	3076705	3076856	-194118576	-	L1_Mus3	LINE	L1	-7	6631	6481	9
608	1188	48	7	0	chr1	3076876	3077022	-194118410	+	B1_Mm	SINE	Alu	1	147	0	9
608	3545	132	63	16	chr1	3077108	3077729	-194117703	-	Lx	LINE	L1	-7	6647	5998	9
608	34087	58	3	4	chr1	3077739	3081063	-194114369	-	L1Md_F2	LINE	L1	-13	6572	3250	9
608	5858	45	0	0	chr1	3081063	3081766	-194113666	+	L1Md_T	LINE	L1	5880	6582	0	9
608	34087	68	3	3	chr1	3081766	3084126	-194111306	-	L1Md_F2	LINE	L1	-2637	3249	794	9
608	605	180	345	0	chr1	3084126	3084358	-194111074	-	L1Md_F2	LINE	L1	-5987	632	321	9
608	353	221	46	11	chr1	3084358	3084445	-194110987	+	RSINE1	SINE	B4	43	132	-33	9
608	567	43	0	0	chr1	3084447	3084517	-194110915	+	(TC)n	Simple_repeat	Simple_repeat	1	70	0	9
608	216	0	0	0	chr1	3086006	3086030	-194109402	+	(TAAAA)n	Simple_repeat	Simple_repeat	2	25	0	9
608	208	205	0	0	chr1	3086188	3086227	-194109205	+	L2a	LINE	L2	3038	3076	-350	9
608	5745	64	3	3	chr1	3086228	3087126	-194108306	+	L1Md_F2	LINE	L1	5830	6582	0	9
